,Frequency,Amplitudes,Phase
0,5.106829483356766,-0.00016290304170811718,1451.6301449877135
1,5.554167322594714,-5.016200156016954e-05,1444.177833552988
2,5.723547771541535,6.978634607736125e-05,1484.0012012280508
3,5.96308001031486,-1.1311619765644574e-05,1483.167946913491
4,6.203968507123224,0.0005102870151449676,1453.8133972273276
5,6.7397181407916795,-0.0011929323161131219,1404.9090459470187
6,6.954876361578948,-0.0003234422677502588,1566.2891277887497
7,7.492748504257871,-3.589256483163878e-05,1425.4964602160812
8,7.732287097383126,-0.00031689115498649724,1470.7022099646758
9,13.456244127896012,-0.00038261085023830156,1511.810992092792
